Martha II	Bark	6	122	138
Martha II	Ship	3	96	60
Martha Wrightington	Bark	1	24	1
Martha	Bark	5	109	57
Martha	Ship	6	74	222
Mary and Helen II	Bark	1	3	39
Mary and Helen	Steam Bark	1	32	1
Mary and Martha	Ship	1	0	74
Mary and Susan	Bark	7	193	36
Mary and Susan	Ship	1	26	3
Mary Ann	Bark	3	44	72
Mary Ann	Ship	5	30	142
Mary E. Simmons	Bark	1	21	1
Mary E. Simmons	Schr	11	187	19
Mary Frazier	Bark	7	161	99
Mary Frazier	Schr	1	29	1
Mary Frazier	Ship	3	57	73
Mary Powell	Schooner	2	50	2
Mary Wilder	Ship	4	42	75
Mary	Bark	3	68	5
Mary	Brig	2	15	14
Mary	Ship	7	81	183
Massachusetts	Bark	5	131	84
Massachusetts	Ship	3	7	93
Massasoit	Bark	4	45	96
Matilda Sears	Bark	6	161	32
Mattapoisett	Bark	21	313	209
Mattapoisett	Brig	3	20	48
Matthew Luce	Bark	2	23	31
Mayflower	Ship	2	0	63
McDonough	Schooner	3	51	3
McLellan	Bark	2	72	1
McLellan	Ship Bark	1	40	1
McLellan	Ship	4	159	4
Mechanic 	Schooner	1	7	0
Menkar	Ship	4	0	126
Mentor	Ship	7	219	7
Mercator	Bark	2	0	46
Mercator	Ship	5	111	34
Mercury	Bark	7	188	35
Mercury	Ship	12	224	132
Meridian	Brig	2	13	19
